Designator,Mid X,Mid Y,Rotation,Layer
BT3,237.9,-74.5,0.0,top
BT9,176.1,-74.75,180.0,top
C1,194.45,-89.27,270.0,top
C2,200.22,-90.41,270.0,top
C3,201.74,-79.01,0.0,top
C4,202.9,-74.9,90.0,top
C5,206.62,-72.35,0.0,top
C6,203.58,-72.27,0.0,top
C7,184.46,-83.765,270.0,top
D1,226.65,-42.175,90.0,top
D10,173.25,-57.0,90.0,top
D11,187.425,-42.25,90.0,top
D2,240.9,-56.5,90.0,top
D3,214.2,-106.7,105.0,top
D4,241.0,-95.5,90.0,top
D5,226.5,-109.5,90.0,top
D6,204.1,-82.625,270.0,top
D7,187.575,-110.0,90.0,top
D8,173.0,-95.5,90.0,top
D9,197.875,-85.6,0.0,top
Q1,200.8275,-82.04,0.0,top
Q2,196.5625,-82.05,0.0,top
Q3,192.6375,-82.03,0.0,top
R1,214.15,-72.0,0.0,top
R10,190.6,-77.9625,270.0,top
R11,190.0,-82.75,270.0,top
R2,194.5,-86.775,270.0,top
R3,200.375,-87.375,270.0,top
R4,209.85,-100.05,270.0,top
R5,215.17,-112.01,90.0,top
R6,219.86,-111.08,90.0,top
R8,202.51,-84.88,0.0,top
R9,211.2,-70.75,90.0,top
SW1,206.4,-68.725,0.0,top
U1,197.3375,-88.525,180.0,top
U2,209.1,-77.1,90.0,top
U3,187.25,-82.07,0.0,top
USB1,218.25681,-116.742998,15.0,top
